country_id,country,last_update,Categoria
11,Bahrain,2006-02-15 09:44:00,Desconocido
10,Azerbaijan,2006-02-15 09:44:00,Desconocido
9,Austria,2006-02-15 09:44:00,Desconocido
7,Armenia,2006-02-15 09:44:00,Desconocido
6,Argentina,2006-02-15 09:44:00,Desconocido
5,Anguilla,2006-02-15 09:44:00,Desconocido
4,Angola,2006-02-15 09:44:00,Desconocido
3,American Samoa,2006-02-15 09:44:00,Desconocido
2,Algeria,2006-02-15 09:44:00,Desconocido
27,Dominican Republic,2006-02-15 09:44:00,Desconocido
108,Yugoslavia,2006-02-15 09:44:00,Desconocido
28,Ecuador,2006-02-15 09:44:00,Desconocido
109,Zambia,2006-02-15 09:44:00,Desconocido
46,Iran,2006-02-15 09:44:00,Desconocido
45,Indonesia,2006-02-15 09:44:00,Desconocido
43,Hungary,2006-02-15 09:44:00,Desconocido
42,Hong Kong,2006-02-15 09:44:00,Desconocido
41,Holy See (Vatican City State),2006-02-15 09:44:00,Desconocido
30,Estonia,2006-02-15 09:44:00,Desconocido
51,Kazakstan,2006-02-15 09:44:00,Desconocido
40,Greenland,2006-02-15 09:44:00,Desconocido
47,Iraq,2006-02-15 09:44:00,Desconocido
39,Greece,2006-02-15 09:44:00,Desconocido
37,Gambia,2006-02-15 09:44:00,Desconocido
36,French Polynesia,2006-02-15 09:44:00,Desconocido
35,French Guiana,2006-02-15 09:44:00,Desconocido
53,Kuwait,2006-02-15 09:44:00,Desconocido
33,Finland,2006-02-15 09:44:00,Desconocido
32,Faroe Islands,2006-02-15 09:44:00,Desconocido
31,Ethiopia,2006-02-15 09:44:00,Desconocido
48,Israel,2006-02-15 09:44:00,Desconocido
87,Spain,2006-02-15 09:44:00,Europa
34,France,2006-02-15 09:44:00,Europa
49,Italy,2006-02-15 09:44:00,Europa
38,Germany,2006-02-15 09:44:00,Europa
68,New Zealand,2006-02-15 09:44:00,Oceanía
8,Australia,2006-02-15 09:44:00,Oceanía
69,Nigeria,2006-02-15 09:44:00,África
52,Kenya,2006-02-15 09:44:00,África
85,South Africa,2006-02-15 09:44:00,África
29,Egypt,2006-02-15 09:44:00,África
